log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2021-01-01 02:46:34.007658,1609469194.007625,2021-01-01 02:46:34.6,1609469194.006912,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:46:34.076984,1609469194.0769463,2021-01-01 02:46:34.76,1609469194.076093,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:46:34.077523,1609469194.0774949,2021-01-01 02:46:34.76,1609469194.076746,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:46:34.078153,1609469194.0781217,2021-01-01 02:46:34.77,1609469194.077356,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 02:48:43.279169,1609469323.2791274,2021-01-01 02:48:43.278,1609469323.278383,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:51:34.006614,1609469494.0065742,2021-01-01 02:51:34.5,1609469494.005704,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:51:34.062193,1609469494.0621622,2021-01-01 02:51:34.61,1609469494.061358,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:51:34.063250,1609469494.0632222,2021-01-01 02:51:34.62,1609469494.062598,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:51:34.064156,1609469494.064134,2021-01-01 02:51:34.63,1609469494.063584,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 02:53:43.839128,1609469623.8390934,2021-01-01 02:53:43.838,1609469623.838351,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:56:34.006523,1609469794.006491,2021-01-01 02:56:34.5,1609469794.005748,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:56:34.094334,1609469794.0942938,2021-01-01 02:56:34.93,1609469794.09353,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:56:34.094817,1609469794.0947912,2021-01-01 02:56:34.94,1609469794.094097,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:56:34.095222,1609469794.095198,2021-01-01 02:56:34.94,1609469794.094625,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 02:58:43.359379,1609469923.3593066,2021-01-01 02:58:43.358,1609469923.358311,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 03:01:34.007123,1609470094.0070765,2021-01-01 03:01:34.6,1609470094.006164,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 03:01:34.016469,1609470094.016439,2021-01-01 03:01:34.15,1609470094.015709,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 03:01:34.016938,1609470094.0169106,2021-01-01 03:01:34.16,1609470094.016275,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 03:01:34.017399,1609470094.0173757,2021-01-01 03:01:34.16,1609470094.016791,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 03:03:43.919145,1609470223.919101,2021-01-01 03:03:43.918,1609470223.918374,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 03:06:34.007645,1609470394.0076063,2021-01-01 03:06:34.6,1609470394.006662,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 03:06:34.050931,1609470394.0508885,2021-01-01 03:06:34.50,1609470394.050001,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 03:06:34.051485,1609470394.051456,2021-01-01 03:06:34.50,1609470394.050687,300.0,daisy-anthem,MAP,300,NA,NA
